Player,2017_Team,2017_Yards,2017_YardsRun,2017_Targets,2017_YardsPerRoute,2017_OpenScore,2017_CatchScore,2017_YACScore,2017_Overall,2018_Team,2018_Yards,2018_YardsRun,2018_Targets,2018_YardsPerRoute,2018_OpenScore,2018_CatchScore,2018_YACScore,2018_Overall,2019_Team,2019_Yards,2019_YardsRun,2019_Targets,2019_YardsPerRoute,2019_OpenScore,2019_CatchScore,2019_YACScore,2019_Overall,2020_Team,2020_Yards,2020_YardsRun,2020_Targets,2020_YardsPerRoute,2020_OpenScore,2020_CatchScore,2020_YACScore,2020_Overall,2021_Team,2021_Yards,2021_YardsRun,2021_Targets,2021_YardsPerRoute,2021_OpenScore,2021_CatchScore,2021_YACScore,2021_Overall,2022_Team,2022_Yards,2022_YardsRun,2022_Targets,2022_YardsPerRoute,2022_OpenScore,2022_CatchScore,2022_YACScore,2022_Overall
A.J. Brown,,,,,,,,,,,,,,,,,,,Titans,"1,115.00",395.00,89.00,2.80,80.00,53.00,97.00,92.00,Titans,"1,158.00",399.00,112.00,2.90,72.00,64.00,76.00,82.00,Titans,"1,011.00",321.00,109.00,3.10,99.00,36.00,53.00,78.00,Eagles,"1,642.00",592.00,161.00,2.80,92.00,61.00,62.00,88.00
A.J. Green,Bengals,"1,078.00",425.00,140.00,2.50,70.00,55.00,44.00,63.00,Bengals,694.00,257.00,77.00,2.70,59.00,44.00,48.00,52.00,,,,,,,,,,Bengals,523.00,457.00,104.00,1.10,33.00,23.00,52.00,27.00,Cardinals,848.00,461.00,91.00,1.80,52.00,45.00,44.00,46.00,,,,,,,,,
Adam Humphries,Buccaneers,631.00,421.00,65.00,1.50,43.00,53.00,42.00,43.00,Buccaneers,816.00,523.00,90.00,1.60,48.00,31.00,53.00,41.00,,,,,,,,,,,,,,,,,,,Commanders,383.00,395.00,57.00,1.00,44.00,45.00,42.00,40.00,,,,,,,,,
Adam Thielen,Vikings,"1,378.00",567.00,154.00,2.40,52.00,67.00,47.00,59.00,Vikings,"1,373.00",549.00,139.00,2.50,50.00,79.00,49.00,64.00,Vikings,597.00,241.00,63.00,2.50,68.00,62.00,43.00,64.00,Vikings,925.00,435.00,103.00,2.10,67.00,69.00,48.00,69.00,Vikings,726.00,374.00,87.00,1.90,63.00,79.00,47.00,71.00,Vikings,766.00,640.00,111.00,1.20,54.00,69.00,29.00,52.00
Albert Wilson,Chiefs,580.00,314.00,51.00,1.80,43.00,34.00,54.00,39.00,,,,,,,,,,Dolphins,351.00,282.00,56.00,1.20,52.00,34.00,45.00,41.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alec Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colts,593.00,438.00,75.00,1.40,38.00,51.00,44.00,40.00
Alex Erickson,,,,,,,,,,,,,,,,,,,Bengals,529.00,342.00,72.00,1.50,36.00,32.00,78.00,45.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Hurns,Jaguars,576.00,321.00,62.00,1.80,41.00,66.00,34.00,46.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Lazard,,,,,,,,,,,,,,,,,,,Packers,513.00,276.00,50.00,1.90,70.00,54.00,38.00,60.00,Packers,609.00,280.00,56.00,2.20,61.00,34.00,60.00,54.00,Packers,519.00,387.00,54.00,1.30,41.00,59.00,39.00,44.00,Packers,788.00,423.00,95.00,1.90,64.00,36.00,34.00,45.00
Allen Robinson,,,,,,,,,,Bears,897.00,412.00,102.00,2.20,42.00,66.00,55.00,55.00,Bears,"1,147.00",538.00,144.00,2.10,55.00,85.00,41.00,67.00,Bears,"1,305.00",560.00,148.00,2.30,65.00,70.00,39.00,64.00,Bears,410.00,326.00,65.00,1.30,40.00,47.00,46.00,40.00,Rams,339.00,308.00,51.00,1.10,65.00,59.00,25.00,53.00
Alshon Jeffery,Eagles,"1,008.00",583.00,135.00,1.70,55.00,70.00,60.00,67.00,Eagles,988.00,474.00,98.00,2.10,44.00,79.00,56.00,63.00,Eagles,490.00,257.00,69.00,1.90,61.00,39.00,38.00,46.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amari Cooper,Raiders,680.00,390.00,89.00,1.70,60.00,5.00,55.00,36.00,Cowboys,"1,176.00",528.00,116.00,2.20,72.00,69.00,67.00,81.00,Cowboys,"1,189.00",467.00,119.00,2.50,54.00,71.00,47.00,61.00,Cowboys,"1,114.00",538.00,127.00,2.10,64.00,66.00,51.00,68.00,Cowboys,929.00,507.00,109.00,1.80,58.00,83.00,46.00,69.00,Browns,"1,160.00",522.00,129.00,2.20,54.00,77.00,53.00,67.00
Amon-Ra St. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lions,912.00,447.00,108.00,2.00,58.00,74.00,53.00,68.00,Lions,"1,161.00",426.00,131.00,2.70,67.00,57.00,46.00,62.00
Anthony Firkser,,,,,,,,,,,,,,,,,,,,,,,,,,,,Titans,431.00,230.00,55.00,1.90,26.00,61.00,49.00,39.00,,,,,,,,,,,,,,,,,,
Anthony Miller,,,,,,,,,,Bears,457.00,347.00,54.00,1.30,59.00,43.00,59.00,56.00,Bears,656.00,405.00,77.00,1.60,52.00,33.00,37.00,37.00,Bears,507.00,400.00,74.00,1.30,51.00,53.00,39.00,47.00,,,,,,,,,,,,,,,,,,
Antonio Brown,Steelers,"1,665.00",502.00,162.00,3.30,92.00,88.00,56.00,98.00,Steelers,"1,297.00",556.00,144.00,2.30,60.00,51.00,56.00,59.00,,,,,,,,,,Buccaneers,564.00,253.00,52.00,2.20,58.00,52.00,55.00,59.00,Buccaneers,545.00,161.00,52.00,3.40,85.00,57.00,41.00,71.00,,,,,,,,,
Antonio Callaway,,,,,,,,,,Browns,586.00,421.00,68.00,1.40,63.00,30.00,53.00,50.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Gates,Chargers,316.00,287.00,52.00,1.10,28.00,53.00,31.00,29.00,Chargers,409.00,262.00,52.00,1.60,35.00,52.00,41.00,37.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auden Tate,,,,,,,,,,,,,,,,,,,Bengals,575.00,359.00,76.00,1.60,20.00,54.00,52.00,34.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Hooper,Falcons,544.00,388.00,66.00,1.40,43.00,51.00,53.00,47.00,Falcons,660.00,433.00,85.00,1.50,29.00,84.00,44.00,51.00,Falcons,787.00,421.00,86.00,1.90,44.00,70.00,49.00,56.00,Browns,497.00,293.00,76.00,1.70,57.00,58.00,35.00,51.00,Browns,345.00,255.00,55.00,1.40,39.00,35.00,44.00,33.00,Titans,444.00,311.00,60.00,1.40,56.00,66.00,41.00,57.00
Austin Seferian-Jenkins,Jets,357.00,315.00,70.00,1.10,30.00,55.00,37.00,34.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Skowronek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rams,376.00,366.00,58.00,1.00,60.00,53.00,31.00,49.00
Benjamin Watson,Ravens,522.00,352.00,74.00,1.50,35.00,55.00,38.00,38.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennie Fowler,Broncos,350.00,324.00,55.00,1.10,34.00,50.00,52.00,40.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandin Cooks,Patriots,"1,237.00",643.00,119.00,1.90,60.00,48.00,38.00,50.00,Rams,"1,496.00",566.00,120.00,2.60,50.00,64.00,49.00,56.00,Rams,583.00,382.00,63.00,1.50,45.00,49.00,48.00,46.00,Texans,"1,150.00",504.00,110.00,2.30,69.00,57.00,52.00,67.00,Texans,"1,037.00",439.00,115.00,2.40,54.00,66.00,48.00,60.00,Texans,699.00,387.00,84.00,1.80,49.00,50.00,33.00,42.00
Brandon Aiyuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,49ers,748.00,375.00,83.00,2.00,53.00,48.00,66.00,58.00,49ers,961.00,483.00,91.00,2.00,51.00,68.00,63.00,66.00,49ers,"1,124.00",546.00,116.00,2.10,81.00,62.00,54.00,77.00
Brandon LaFell,Bengals,548.00,431.00,73.00,1.30,29.00,27.00,43.00,22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braxton Berrios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jets,431.00,219.00,54.00,2.00,39.00,60.00,47.00,47.00,,,,,,,,,
Breshad Perriman,,,,,,,,,,,,,,,,,,,Buccaneers,645.00,396.00,63.00,1.60,48.00,64.00,27.00,46.00,Jets,505.00,311.00,53.00,1.60,50.00,35.00,55.00,45.00,,,,,,,,,,,,,,,,,,
Bruce Ellington,Texans,330.00,306.00,55.00,1.10,41.00,43.00,41.00,37.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raiders,612.00,464.00,60.00,1.30,37.00,48.00,65.00,48.00,,,,,,,,,
Byron Pringle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chiefs,650.00,425.00,74.00,1.50,44.00,53.00,50.00,48.00,,,,,,,,,
C.J. Uzomah,,,,,,,,,,Bengals,439.00,379.00,61.00,1.20,13.00,63.00,47.00,32.00,,,,,,,,,,,,,,,,,,,Bengals,639.00,505.00,76.00,1.30,36.00,30.00,62.00,37.00,,,,,,,,,
Cade Otton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buccaneers,449.00,451.00,66.00,1.00,53.00,28.00,47.00,40.00
Calvin Ridley,,,,,,,,,,Falcons,821.00,415.00,83.00,2.00,70.00,43.00,52.00,60.00,Falcons,866.00,452.00,91.00,1.90,56.00,73.00,42.00,62.00,Falcons,"1,374.00",512.00,141.00,2.70,90.00,63.00,49.00,81.00,,,,,,,,,,,,,,,,,,
Cam Sims,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commanders,581.00,388.00,57.00,1.50,23.00,52.00,70.00,43.00,,,,,,,,,,,,,,,,,,
Cameron Brate,Buccaneers,591.00,350.00,76.00,1.70,24.00,56.00,34.00,29.00,,,,,,,,,,Buccaneers,311.00,252.00,53.00,1.20,29.00,57.00,40.00,36.00,Buccaneers,457.00,197.00,52.00,2.30,53.00,68.00,30.00,52.00,Buccaneers,283.00,296.00,58.00,1.00,32.00,36.00,37.00,26.00,,,,,,,,,
Cedrick Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cowboys,664.00,357.00,68.00,1.90,57.00,68.00,63.00,70.00,,,,,,,,,
CeeDee Lamb,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cowboys,935.00,447.00,95.00,2.10,47.00,47.00,44.00,44.00,Cowboys,"1,123.00",523.00,111.00,2.10,58.00,45.00,70.00,61.00,Cowboys,"1,544.00",598.00,159.00,2.60,85.00,55.00,49.00,74.00
Charles Clay,Bills,573.00,284.00,72.00,2.00,82.00,43.00,40.00,62.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Claypool,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steelers,932.00,425.00,106.00,2.20,68.00,44.00,67.00,66.00,Steelers,885.00,461.00,104.00,1.90,51.00,32.00,45.00,39.00,Bears,451.00,387.00,74.00,1.20,64.00,50.00,49.00,59.00
Chester Rogers,,,,,,,,,,Colts,561.00,405.00,66.00,1.40,31.00,36.00,43.00,28.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Conley,,,,,,,,,,Chiefs,334.00,449.00,50.00,0.70,38.00,29.00,60.00,37.00,Jaguars,775.00,521.00,90.00,1.50,57.00,33.00,68.00,54.00,Jaguars,471.00,268.00,60.00,1.80,50.00,48.00,66.00,56.00,,,,,,,,,,,,,,,,,,
Chris Godwin,Buccaneers,525.00,221.00,52.00,2.40,61.00,57.00,60.00,65.00,Buccaneers,842.00,417.00,92.00,2.00,65.00,68.00,61.00,73.00,Buccaneers,"1,333.00",520.00,105.00,2.60,45.00,89.00,75.00,77.00,Buccaneers,"1,072.00",476.00,99.00,2.30,46.00,55.00,50.00,50.00,Buccaneers,"1,103.00",464.00,92.00,2.40,47.00,66.00,59.00,60.00,Buccaneers,"1,108.00",574.00,130.00,1.90,42.00,48.00,51.00,45.00
Chris Hogan,Patriots,591.00,438.00,74.00,1.30,55.00,43.00,35.00,43.00,Patriots,590.00,521.00,71.00,1.10,44.00,32.00,44.00,34.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Texans,548.00,392.00,66.00,1.40,41.00,54.00,57.00,49.00
Chris Olave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saints,"1,042.00",403.00,111.00,2.60,82.00,69.00,45.00,77.00
Christian Kirk,,,,,,,,,,Cardinals,590.00,274.00,53.00,2.20,46.00,42.00,53.00,45.00,Cardinals,709.00,403.00,88.00,1.80,59.00,39.00,48.00,49.00,Cardinals,621.00,435.00,70.00,1.40,50.00,62.00,43.00,53.00,Cardinals,"1,033.00",476.00,102.00,2.20,57.00,76.00,37.00,61.00,Jaguars,"1,238.00",619.00,153.00,2.00,63.00,35.00,34.00,43.00
Christian Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Packers,611.00,235.00,55.00,2.60,73.00,46.00,59.00,67.00
Christopher Herndon,,,,,,,,,,Jets,502.00,264.00,53.00,1.90,29.00,59.00,56.00,44.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole Beasley,Cowboys,314.00,343.00,62.00,0.90,37.00,42.00,51.00,38.00,Cowboys,715.00,465.00,88.00,1.50,41.00,60.00,35.00,43.00,Bills,822.00,442.00,106.00,1.90,60.00,46.00,47.00,53.00,Bills,"1,112.00",511.00,115.00,2.20,62.00,78.00,41.00,68.00,Bills,772.00,475.00,106.00,1.60,66.00,41.00,38.00,50.00,,,,,,,,,
Cole Kmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bears,612.00,429.00,87.00,1.40,45.00,26.00,44.00,33.00,Bears,544.00,353.00,58.00,1.50,48.00,43.00,32.00,37.00
Cooper Kupp,Rams,938.00,418.00,100.00,2.20,50.00,59.00,52.00,55.00,,,,,,,,,,Rams,"1,161.00",468.00,120.00,2.50,54.00,47.00,60.00,55.00,Rams,"1,052.00",441.00,113.00,2.40,41.00,66.00,63.00,58.00,Rams,"2,425.00",670.00,210.00,3.60,76.00,75.00,64.00,85.00,Rams,812.00,284.00,79.00,2.90,55.00,63.00,53.00,61.00
Corey Coleman,Browns,305.00,264.00,57.00,1.20,57.00,46.00,53.00,54.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corey Davis,Titans,473.00,362.00,78.00,1.30,53.00,55.00,46.00,53.00,Titans,891.00,398.00,100.00,2.20,55.00,31.00,50.00,44.00,Titans,669.00,406.00,79.00,1.60,36.00,34.00,84.00,48.00,Titans,984.00,359.00,92.00,2.70,55.00,65.00,58.00,64.00,Jets,492.00,253.00,58.00,1.90,26.00,43.00,62.00,36.00,Jets,536.00,364.00,64.00,1.50,26.00,57.00,42.00,35.00
Courtland Sutton,,,,,,,,,,Broncos,704.00,432.00,79.00,1.60,44.00,45.00,44.00,41.00,Broncos,"1,112.00",471.00,120.00,2.40,52.00,38.00,57.00,48.00,,,,,,,,,,Broncos,776.00,492.00,96.00,1.60,65.00,56.00,36.00,56.00,Broncos,829.00,485.00,109.00,1.70,78.00,25.00,37.00,50.00
Curtis Samuel,,,,,,,,,,Panthers,494.00,263.00,60.00,1.90,53.00,52.00,53.00,55.00,Panthers,627.00,581.00,98.00,1.10,42.00,25.00,42.00,29.00,Panthers,851.00,374.00,80.00,2.30,59.00,61.00,38.00,56.00,,,,,,,,,,Commanders,656.00,465.00,78.00,1.40,41.00,56.00,47.00,46.00
D.J. Chark,,,,,,,,,,,,,,,,,,,Jaguars,"1,008.00",530.00,109.00,1.90,44.00,60.00,66.00,58.00,Jaguars,706.00,411.00,92.00,1.70,47.00,54.00,52.00,51.00,,,,,,,,,,Lions,502.00,306.00,49.00,1.60,41.00,54.00,44.00,44.00
D.J. Moore,,,,,,,,,,Panthers,788.00,379.00,74.00,2.10,46.00,58.00,72.00,62.00,Panthers,"1,175.00",521.00,125.00,2.30,65.00,57.00,54.00,65.00,Panthers,"1,193.00",468.00,112.00,2.50,55.00,28.00,60.00,47.00,Panthers,"1,157.00",543.00,150.00,2.10,77.00,34.00,51.00,60.00,Panthers,888.00,426.00,108.00,2.10,43.00,59.00,37.00,44.00
DaeSean Hamilton,,,,,,,,,,,,,,,,,,,Broncos,297.00,346.00,51.00,0.90,30.00,24.00,43.00,21.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Goedert,,,,,,,,,,,,,,,,,,,Eagles,680.00,340.00,81.00,2.00,41.00,49.00,56.00,47.00,Eagles,524.00,257.00,59.00,2.00,54.00,57.00,53.00,57.00,Eagles,922.00,319.00,76.00,2.90,57.00,68.00,65.00,70.00,Eagles,843.00,396.00,66.00,2.10,53.00,68.00,53.00,62.00
Dalton Schultz,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cowboys,615.00,461.00,82.00,1.30,47.00,38.00,54.00,44.00,Cowboys,897.00,503.00,106.00,1.80,62.00,68.00,48.00,66.00,Cowboys,699.00,439.00,104.00,1.60,64.00,38.00,32.00,45.00
Damiere Byrd,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patriots,604.00,393.00,68.00,1.50,52.00,39.00,40.00,41.00,,,,,,,,,,,,,,,,,,
Danny Amendola,Patriots,"1,007.00",454.00,110.00,2.20,77.00,80.00,40.00,78.00,Dolphins,575.00,346.00,65.00,1.70,56.00,52.00,37.00,49.00,Lions,678.00,397.00,92.00,1.70,43.00,37.00,40.00,35.00,Lions,602.00,287.00,59.00,2.10,39.00,51.00,50.00,44.00,,,,,,,,,,,,,,,,,,
Darius Slayton,,,,,,,,,,,,,,,,,,,Giants,740.00,408.00,77.00,1.80,42.00,64.00,70.00,61.00,Giants,751.00,508.00,96.00,1.50,42.00,37.00,50.00,39.00,Giants,339.00,308.00,55.00,1.10,29.00,18.00,39.00,16.00,Giants,816.00,455.00,83.00,1.80,67.00,30.00,56.00,53.00
Darnell Mooney,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bears,631.00,469.00,86.00,1.30,47.00,41.00,56.00,46.00,Bears,"1,055.00",548.00,128.00,1.90,63.00,16.00,48.00,40.00,Bears,493.00,276.00,50.00,1.80,67.00,54.00,30.00,54.00
Darren Fells,,,,,,,,,,,,,,,,,,,Texans,400.00,337.00,55.00,1.20,30.00,40.00,46.00,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darren Waller,,,,,,,,,,,,,,,,,,,Raiders,"1,145.00",411.00,108.00,2.80,60.00,57.00,51.00,60.00,Raiders,"1,196.00",448.00,133.00,2.70,73.00,68.00,50.00,73.00,Raiders,741.00,377.00,96.00,2.00,52.00,39.00,45.00,44.00,,,,,,,,,
Davante Adams,Packers,885.00,434.00,105.00,2.00,53.00,65.00,47.00,58.00,Packers,"1,386.00",559.00,152.00,2.50,74.00,54.00,50.00,68.00,Packers,"1,295.00",413.00,133.00,3.10,83.00,35.00,51.00,64.00,Packers,"1,507.00",455.00,149.00,3.30,99.00,61.00,46.00,88.00,Packers,"1,643.00",501.00,165.00,3.30,85.00,72.00,49.00,83.00,Raiders,"1,516.00",575.00,176.00,2.60,81.00,45.00,47.00,66.00
David Moore,,,,,,,,,,Seahawks,445.00,287.00,51.00,1.60,51.00,53.00,55.00,54.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Njoku,Browns,386.00,254.00,54.00,1.50,51.00,43.00,50.00,47.00,Browns,639.00,417.00,80.00,1.50,27.00,49.00,55.00,37.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,Browns,628.00,365.00,71.00,1.70,51.00,62.00,58.00,60.00
Dawson Knox,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bills,353.00,284.00,52.00,1.20,44.00,47.00,55.00,47.00,Bills,685.00,474.00,68.00,1.40,58.00,57.00,56.00,62.00,Bills,602.00,495.00,74.00,1.20,57.00,48.00,34.00,47.00
DeAndre Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chargers,555.00,455.00,61.00,1.20,38.00,66.00,45.00,48.00
DeAndre Hopkins,Texans,"1,378.00",528.00,164.00,2.60,89.00,87.00,50.00,93.00,Texans,"1,609.00",605.00,160.00,2.70,65.00,88.00,46.00,77.00,Texans,"1,373.00",609.00,158.00,2.30,82.00,58.00,43.00,71.00,Cardinals,"1,407.00",533.00,142.00,2.60,69.00,65.00,60.00,74.00,Cardinals,572.00,269.00,60.00,2.10,49.00,77.00,54.00,64.00,Cardinals,717.00,328.00,96.00,2.20,63.00,75.00,37.00,65.00
Dede Westbrook,Jaguars,424.00,254.00,61.00,1.70,46.00,36.00,44.00,38.00,Jaguars,717.00,489.00,83.00,1.50,49.00,43.00,56.00,48.00,Jaguars,660.00,485.00,85.00,1.40,35.00,25.00,45.00,26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deebo Samuel,,,,,,,,,,,,,,,,,,,49ers,929.00,373.00,80.00,2.50,52.00,37.00,69.00,54.00,,,,,,,,,,49ers,"1,559.00",460.00,109.00,3.40,48.00,31.00,99.00,61.00,49ers,843.00,390.00,91.00,2.20,42.00,20.00,82.00,45.00
Delanie Walker,Titans,930.00,443.00,112.00,2.10,65.00,62.00,41.00,61.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demarcus Robinson,,,,,,,,,,,,,,,,,,,Chiefs,484.00,465.00,60.00,1.00,39.00,34.00,44.00,32.00,Chiefs,491.00,505.00,61.00,1.00,36.00,57.00,47.00,44.00,,,,,,,,,,Ravens,507.00,347.00,75.00,1.50,61.00,39.00,41.00,48.00
Demaryius Thomas,Broncos,949.00,501.00,133.00,1.90,58.00,60.00,45.00,58.00,Texans,677.00,371.00,69.00,1.80,54.00,42.00,60.00,54.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deonte Harty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saints,570.00,181.00,51.00,3.10,81.00,44.00,67.00,74.00,,,,,,,,,
Deonte Thompson,Bills,578.00,395.00,75.00,1.50,51.00,63.00,37.00,52.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
